build,runs,win_rate,wilson_low,wilson_high,mean_upgrades,mean_essential_spending
endurance/torpedo/protection/precision,256,0.16015625,0.12030483615240639,0.2100564300959542,6.484375,197.44380885995963
fast/explosive/protection/precision,256,0.1328125,0.09662098110089376,0.17986130656974872,6.6953125,195.2211092097032
aviation/torpedo/economy/precision,256,0.109375,0.07676355150221262,0.15353675453038573,6.2265625,198.76311569521016
fast/explosive/control/cadence,256,0.0859375,0.0574351542702768,0.12668317012427743,6.71484375,193.63970418362254
endurance/torpedo/control/cadence,256,0.078125,0.05114024376243957,0.11758408675276665,6.48828125,194.5321655282654
fast/explosive/control/precision,256,0.0703125,0.04493518002091057,0.10839515661494761,6.73828125,192.08569685421932
endurance/torpedo/economy/precision,256,0.0546875,0.03285198767832931,0.0896903611988328,6.296875,190.2886661884381
endurance/explosive/control/precision,256,0.05078125,0.029913524810755977,0.08493182712673211,6.609375,181.65014123930953
aviation/explosive/control/precision,256,0.05078125,0.029913524810755977,0.08493182712673211,6.50390625,193.8635202870302
reinforced/explosive/economy/cadence,256,0.046875,0.027014582144288417,0.08013377285352566,6.49609375,211.5241073998251
flexible/explosive/economy/precision,256,0.03515625,0.018603884348547726,0.06545347983024427,6.53515625,192.7254435308093
reinforced/explosive/protection/cadence,256,0.03125,0.015918067732609054,0.06044229950650894,6.56640625,216.16437074166817
aviation/torpedo/protection/cadence,256,0.03125,0.015918067732609054,0.06044229950650894,6.2421875,207.725851119795
flexible/explosive/economy/cadence,256,0.02734375,0.013306986698200705,0.055356383601243266,6.46484375,195.2725647851779
endurance/torpedo/protection/cadence,256,0.01953125,0.008370606318218642,0.044898770101877296,6.40234375,199.26749360828833
aviation/explosive/protection/precision,256,0.01953125,0.008370606318218642,0.044898770101877296,6.3515625,194.55999952587717
fast/explosive/economy/cadence,256,0.015625,0.00609249965946242,0.039479879820959504,6.48828125,187.79164949695888
fast/explosive/economy/precision,256,0.015625,0.00609249965946242,0.039479879820959504,6.56640625,187.39206495174778
endurance/explosive/protection/precision,256,0.01171875,0.003993214821806392,0.03388216771894151,6.484375,184.83645800479877
aviation/explosive/control/cadence,256,0.01171875,0.003993214821806392,0.03388216771894151,6.4140625,194.38276003623824
